"pid","id"
ldpd:286978,NYDA.1960.001.03446
ldpd:286929,NYDA.1960.001.01675
ldpd:286928,NYDA.1960.001.00150
ldpd:286925,NYDA.1960.001.02386
ldpd:286968,NYDA.1960.001.04383
ldpd:287011,NYDA.1960.001.00474
ldpd:286904,NYDA.1960.001.00563
ldpd:286826,NYDA.1960.001.00094
ldpd:286818,NYDA.1960.001.03885
ldpd:286965,NYDA.1960.001.01547
ldpd:287065,NYDA.1960.001.01705
ldpd:286931,NYDA.1960.001.04520
ldpd:286829,NYDA.1960.001.00768
ldpd:286824,NYDA.1960.001.02371
ldpd:287099,NYDA.1960.001.03185
ldpd:287098,NYDA.1960.001.00672
ldpd:287097,NYDA.1960.001.02016
ldpd:286795,NYDA.1960.001.02966
ldpd:287096,NYDA.1960.001.02420
ldpd:286872,NYDA.1960.001.02876
ldpd:286942,NYDA.1960.001.00247
ldpd:287086,NYDA.1987.003.00035
ldpd:287085,NYDA.1960.001.01506
ldpd:287088,NYDA.1960.001.03908
ldpd:287089,NYDA.1960.001.02559
ldpd:286823,NYDA.1960.001.04280
ldpd:286998,NYDA.1960.001.02821
ldpd:287090,NYDA.1960.001.04167
ldpd:287091,NYDA.1960.001.04205
ldpd:287092,NYDA.1960.001.02500
ldpd:287093,NYDA.1960.001.04124
ldpd:287094,NYDA.1960.001.01030
ldpd:287095,NYDA.1960.001.04729
ldpd:287077,NYDA.1960.001.03830
ldpd:287076,NYDA.1960.001.04077
ldpd:287075,NYDA.1960.001.02340
ldpd:287079,NYDA.1960.001.03076
ldpd:286843,NYDA.1960.001.02181
ldpd:287078,NYDA.1960.001.04508
ldpd:287080,NYDA.1960.001.00163
ldpd:287083,NYDA.1960.001.03028
ldpd:287084,NYDA.1960.001.00832
ldpd:287081,NYDA.1960.001.02688
ldpd:287082,NYDA.1960.001.01208
ldpd:286877,NYDA.1960.001.02269
ldpd:287005,NYDA.1960.001.02423
ldpd:286908,NYDA.1960.001.03999
ldpd:286882,NYDA.1960.001.04551
ldpd:286853,NYDA.1960.001.02796
ldpd:286891,NYDA.1960.001.00062
ldpd:286867,NYDA.1960.001.03393
ldpd:287033,NYDA.1960.001.00351R
ldpd:287064,NYDA.1960.001.03424
ldpd:286831,NYDA.1960.001.03167
ldpd:286884,NYDA.1960.001.00990
ldpd:286909,NYDA.1960.001.03909V
ldpd:287109,NYDA.1960.001.01783
ldpd:286886,NYDA.1960.001.03137
ldpd:286883,NYDA.1960.001.04352
ldpd:286878,NYDA.1960.001.00029
ldpd:286797,NYDA.1960.001.00348
ldpd:286871,NYDA.1960.001.01603
ldpd:286819,NYDA.1960.001.00055
ldpd:287026,NYDA.1960.001.02915
ldpd:287025,NYDA.1960.001.01708
ldpd:287024,NYDA.1960.001.01096
ldpd:287021,NYDA.1960.001.01194
ldpd:287020,NYDA.1960.001.02190
ldpd:287104,NYDA.1960.001.01184R
ldpd:287029,NYDA.1960.001.03417
ldpd:287028,NYDA.1960.001.00030
ldpd:287112,NYDA.1960.001.04298
ldpd:286960,NYDA.1960.001.03277
ldpd:286969,NYDA.1960.001.00381
ldpd:287012,NYDA.1960.001.00169
ldpd:287015,NYDA.1987.003.00094
ldpd:286894,NYDA.1960.001.01897
ldpd:286837,NYDA.1960.001.01049
ldpd:287017,NYDA.1960.001.00260
ldpd:287016,NYDA.1960.001.01502
ldpd:287019,NYDA.1960.001.04380
ldpd:287018,NYDA.1960.001.00652
ldpd:286830,NYDA.1960.001.02137
ldpd:286851,NYDA.1960.001.01171
ldpd:287000,NYDA.1960.001.04303
ldpd:287004,NYDA.1960.001.00981
ldpd:287003,NYDA.1960.001.03150
ldpd:287002,NYDA.1960.001.01444
ldpd:287001,NYDA.1960.001.01266V
ldpd:287056,NYDA.1960.001.02572
ldpd:287008,NYDA.1960.001.02535
ldpd:287007,NYDA.1960.001.01200
ldpd:287006,NYDA.1960.001.01522
ldpd:287102,NYDA.1960.001.02739
ldpd:287009,NYDA.1960.001.02138
ldpd:286855,NYDA.1960.001.03718
ldpd:286866,NYDA.1960.001.04328R
ldpd:286862,NYDA.1960.001.04666
ldpd:286858,NYDA.1960.001.03965
ldpd:286900,NYDA.1960.001.02948
ldpd:286875,NYDA.1960.001.01923
ldpd:286920,NYDA.1960.001.03678
ldpd:286895,NYDA.1960.001.04463
ldpd:287073,NYDA.1960.001.01912
ldpd:286841,NYDA.1960.001.01230
ldpd:287072,NYDA.1960.001.00005
ldpd:287071,NYDA.1960.001.02874
ldpd:287070,NYDA.1960.001.04675
ldpd:286848,NYDA.1960.001.01906
ldpd:286958,NYDA.1960.001.03715
ldpd:286838,NYDA.1960.001.04184
ldpd:287069,NYDA.1960.001.00068
ldpd:287067,NYDA.1960.001.00917
ldpd:287068,NYDA.1960.001.01660
ldpd:287066,NYDA.1987.003.00031
ldpd:287060,NYDA.1960.001.02647
ldpd:287061,NYDA.1960.001.00382
ldpd:287053,NYDA.1960.001.03859
ldpd:286956,NYDA.1960.001.00455
ldpd:287057,NYDA.1960.001.04691
ldpd:287058,NYDA.1960.001.03534
ldpd:287059,NYDA.1960.001.02699
ldpd:287054,NYDA.1960.001.01458R
ldpd:287055,NYDA.1987.003.00039
ldpd:286982,NYDA.1960.001.02552V
ldpd:287051,NYDA.1960.001.03919
ldpd:287050,NYDA.1960.001.03986
ldpd:286905,NYDA.1960.001.01125
ldpd:287049,NYDA.1960.001.02095
ldpd:286844,NYDA.1960.001.04216
ldpd:286846,NYDA.1960.001.04581
ldpd:286864,NYDA.1960.001.03426
ldpd:287043,NYDA.1960.001.01202
ldpd:287044,NYDA.1960.001.04291
ldpd:287041,NYDA.1960.001.03008
ldpd:287042,NYDA.1960.001.02465
ldpd:287047,NYDA.1960.001.04379
ldpd:287048,NYDA.1960.001.01433V
ldpd:287040,NYDA.1960.001.03387
ldpd:286906,NYDA.1960.001.02795
ldpd:286979,NYDA.1960.001.03738
ldpd:287038,NYDA.1960.001.04382
ldpd:287039,NYDA.1960.001.02142
ldpd:286888,NYDA.1960.001.01821
ldpd:287031,NYDA.1960.001.02442
ldpd:287032,NYDA.1960.001.01861
ldpd:287034,NYDA.1960.001.02180
ldpd:287035,NYDA.1960.001.03205
ldpd:287036,NYDA.1960.001.00907
ldpd:287037,NYDA.1960.001.04348
ldpd:286927,NYDA.1960.001.00673
ldpd:286937,NYDA.1960.001.00556
ldpd:286914,NYDA.1960.001.00986
ldpd:286893,NYDA.1960.001.03818
ldpd:286876,NYDA.1960.001.01712
ldpd:286806,NYDA.1960.001.04471
ldpd:286949,NYDA.1960.001.01047
ldpd:286889,NYDA.1960.001.02920
ldpd:286918,NYDA.1960.001.01326
ldpd:286957,NYDA.1960.001.03900
ldpd:286890,NYDA.1960.001.01073
ldpd:286915,NYDA.1960.001.00230
ldpd:286910,NYDA.1960.001.03032
ldpd:286938,NYDA.1960.001.00922
ldpd:287100,NYDA.1960.001.03067
ldpd:286962,NYDA.1960.001.03415R
ldpd:286935,NYDA.1960.001.03964
ldpd:286852,NYDA.1960.001.02815
ldpd:286986,NYDA.1960.001.01691
ldpd:286943,NYDA.1960.001.04345
ldpd:287101,NYDA.1960.001.03048R
ldpd:287103,NYDA.1960.001.04416
ldpd:287105,NYDA.1960.001.01789
ldpd:287107,NYDA.1960.001.02235
ldpd:287108,NYDA.1960.001.03308
ldpd:286801,NYDA.1960.001.03291
ldpd:286820,NYDA.1960.001.00281
ldpd:286967,NYDA.1960.001.04085
ldpd:286970,NYDA.1960.001.02344
ldpd:286861,NYDA.1960.001.00265
ldpd:286802,NYDA.1960.001.02391
ldpd:286903,NYDA.1960.001.00641
ldpd:286809,NYDA.1960.001.02229
ldpd:286822,NYDA.1960.001.00242
ldpd:286816,NYDA.1960.001.01576
ldpd:286810,NYDA.1960.001.00049
ldpd:286899,NYDA.1960.001.03158
ldpd:286863,NYDA.1960.001.04130
ldpd:286803,NYDA.1960.001.03655V
ldpd:286902,NYDA.1960.001.01095
ldpd:286896,NYDA.1960.001.02010R
ldpd:286849,NYDA.1960.001.01076
ldpd:286990,NYDA.1960.001.01771
ldpd:286926,NYDA.1960.001.03774
